time,c_left,c_top
367,66.015930967434,-13.684726927109
368,66.111682684757,-13.690420098583
369,66.207418387176,-13.696069180193
370,66.303145708097,-13.701686348257
371,66.398873173375,-13.707283758248
372,66.494610005859,-13.71287362802
373,66.590365925413,-13.718468306841
374,66.686150944227,-13.724080323329
375,66.781975157308,-13.729722408803
376,66.877848528063,-13.735407495414
377,66.973780669121,-13.741148690575
378,67.069780618675,-13.746959230715
379,67.16585661298,-13.75285241821
380,67.262015855888,-13.758841545665
381,67.358264286723,-13.764939811628
382,67.454606348168,-13.771160231492
383,67.551044756257,-13.777515546805
384,67.647580274974,-13.784018135624
385,67.744211498366,-13.790679926004
386,67.840934643403,-13.797512314124
387,67.937743357113,-13.804526088124
388,68.034628541678,-13.811731358318
389,68.131578201248,-13.819137494172
390,68.228577314121,-13.826753068188
391,68.325607733696,-13.834585806698
392,68.422648121176,-13.842642547464
393,68.519673912391,-13.850929203923
394,68.616657320394,-13.859450735858
395,68.713567374556,-13.868211126294
396,68.810369995969,-13.877213364394
397,68.907028107907,-13.886459434125
398,69.003501779133,-13.895950308489
399,69.099748396911,-13.905685949136
400,69.195722865794,-13.915665311176
401,69.291377827688,-13.925886353079
402,69.386663898324,-13.936346051586
403,69.481529915192,-13.947040421628
404,69.575923192189,-13.957964541341
405,69.669789776649,-13.969112582311
406,69.763074705154,-13.98047784531
407,69.855722255373,-13.992052801804
408,69.947676192172,-14.003829141552
409,70.038880007309,-14.01579782659
410,70.129277153029,-14.027949151843
411,70.218811270801,-14.040272812424
412,70.307426417191,-14.052757977535
413,70.395067289334,-14.06539337059
414,70.481679452714,-14.078167354928
415,70.567209573834,-14.091068024138
416,70.651605659948,-14.104083295739
417,70.734817307296,-14.11720100668
418,70.816795958279,-14.130409008876
419,70.89749516686,-14.143695262863
420,70.976870870135,-14.157047927595
421,71.05488166271,-14.170455444385
422,71.131489069293,-14.183906613184
423,71.206657809815,-14.197390659563
424,71.280356050664,-14.21089729109
425,71.352555635135,-14.224416742183
426,71.423232286174,-14.237939806957
427,71.492365774892,-14.251457860072
428,71.559940049046,-14.26496286609
429,71.625943316834,-14.278447378316
430,71.690368082723,-14.291904528602
431,71.7532111336,-14.305328009911
432,71.814473475179,-14.318712053783
433,71.874160220225,-14.332051404991
434,71.93228043164,-14.345341295719
435,71.988846924743,-14.358577421485
436,72.043876034141,-14.371755920805
437,72.097387351288,-14.38487336019
438,72.149403439277,-14.397926725652
439,72.199949531556,-14.410913421306
440,72.249053221107,-14.423831275163
441,72.2967441463,-14.436678551636
442,72.343053679053,-14.449453969847
443,72.388014620322,-14.462156726435
444,72.431660907157,-14.474786521327
445,72.474027334803,-14.487343584775
446,72.515149296557,-14.499828704012
447,72.555062543339,-14.512243247911
448,72.593802964272,-14.524589188309
449,72.631406388933,-14.536869116831
450,72.667908411427,-14.549086256402
451,72.703344235972,-14.561244466895
452,72.737748543329,-14.573348244646
453,72.771155377116,-14.585402715807
454,72.803598048812,-14.597413623714
455,72.835109060141,-14.609387310568
456,72.865720041377,-14.621330693817
457,72.895461704106,-14.633251237679
458,72.924363806938,-14.645156920211
459,72.952455132698,-14.657056196336
460,72.979763475684,-14.668957957144
461,73.00631563762,-14.680871485757
462,73.03213743105,-14.692806409974
463,73.057253688999,-14.704772651896
464,73.081688279823,-14.716780374682
465,73.105464126292,-14.728839926629
466,73.128603228042,-14.740961782781
467,73.151126686643,-14.753156484359
468,73.173054732617,-14.765434576368
469,73.194406753853,-14.777806543868
470,73.215201324923,-14.790282747484
471,73.235456236914,-14.802873358861
472,73.255188527419,-14.815588296869
473,73.274414510439,-14.828437165435
474,73.293149805952,-14.841429193938
475,73.311409368993,-14.854573181134
476,73.329207518095,-14.867877443539
477,73.346557962993,-14.881349769141
478,73.363473831511,-14.894997377235
479,73.379967695576,-14.908826885007
480,73.39605159631,-14.922844281364
481,73.411737068193,-14.937054908313
482,73.427035162258,-14.951463449996
483,73.441956468336,-14.966073929313
484,73.456511136333,-14.980889711866
485,73.470708896556,-14.995913516801
